title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Effects,2005,,,,,,,Dusty Nelson,,
Ek Haseena Thi Ek Deewana Tha,2017,,105 minutes,Drama,,,,Suneel Darshan,,"$149,491"
Ekk Albela,2016,,,Drama,,,,Shekhar Sartandel,,"$1,907"
The Daisy Chain,2009,R,,,,,,,,
Dali & I: The Surreal Story,2011,,,Drama,,,,Andrew Niccol,Al Pacino,
Hacienda Classical: The Classical Rave,2016,,95 minutes,Documentary,,,,,,"$1,338"
Haevnen,2011,R,113 minutes,Drama,,,,Susanne Bier,"Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,William Johnk Nielsen","$15,867,314"
Hacksaw Ridge,2016,R,138 minutes,Drama,,,,Mel Gibson,Andrew Garfield,"$158,701,644"
Haeundae,2010,R,,,,,,,,"$64,733,391"
Haganenet,2015,Not Rated,119 minutes,Drama,,,,Nadav Lapid,"Sarit Larry,Avi Shnaidman","$129,165"
Half Past Dead,2002,PG-13,,Action,,,,,Steven Seagal,"$19,233,280"
Hamlet,1996,PG-13,,Drama,,,,,Kenneth Branagh,"$7,129,670"
Hammersmith Is Out,1972,,,,,,,,,
Home is Where the Heart Is,2014,PG-13,115 minutes,Drama,,,,Rajeev Dassani,,
Home Movies,1980,,,,,,,,,
A Home of Our Own,1993,Not Rated,,,,,,Tony Bill,,
Home Invasion,2016,PG-13,88 minutes,Action,,,,David Tennant,,
Home is Burning,2017,,,Drama,,,,Jonathan Levine,,
Home Movie,2002,Not Rated,,,,,,,,
Home Fries,1998,PG-13,91 minutes,Black Comedy,,,,Dean Parisot,Drew Barrymore,
Home of the Brave,2007,R,106 minutes,Drama,,,,Irwin Winkler,"Samuel L. Jackson,Jessica Biel,Brian Presley,Curtis ""50 Cent"" Jackson",
Home Delivery,2005,Not Rated,,Comedy,,,,,,
Home for the Holidays,1995,PG-13,104 minutes,Comedy,,,,Jodie Foster,Holly Hunter,"$22,119,269"
Home Alone: The Holiday Heist,2013,Not Rated,87 minutes,Adventure,,,,Peter Hewitt,,
Home Before Midnight,2014,,,Drama,,,,Pete Walker,,
"Distant Voices, Still Lives",1988,,85 minutes,Drama,,,,Terence Davies,,"$44,963"
A Home at the End of the World,2004,R,,Drama,,,,,,"$1,033,810"
Home Alone III,1997,PG,,Comedy,,,,,,
Distant,2004,Not Rated,,Drama,,,,,,
The Horror Show,1989,,,,,,,,,
The Horror Network,2015,Not Rated,,Horror,,,,Brian Dorton,,
Hors de Prix,2008,PG-13,104 minutes,Comedy,,,,,Audrey Tautou,"$26,980,663"
Hors la loi,2010,R,138 minutes,Drama,,,,Rachid Bouchareb,"Jamel Debbouze,Roschdy Zem,Sami Bouajila","$1,459,269"
Horror Hotel: The Movie,2017,,,Comedy,,,,Ricky Hess,,
Hoshi Mamoru Inu,2011,,,Drama,,,,,,"$7,772,082"
The Hospital,1971,PG-13,,,,,,,,
Hot Fuzz,2007,R,121 minutes,Comedy,,,,Edgar Wright,"Simon Pegg,Nick Frost","$81,742,618"
The House on Sorority Row,1983,,,Horror,,,,,,
The House on Pine Street,2015,,111 minutes,Horror,,,,Aaron Keeling,,"$41,355"
Housebound,2014,Not Rated,109 minutes,Comedy,,,,Gerard Johnstone,"Morgana O'Reilly,Rima Te Wiata,Glen-Paul Waru,Cameron Rhodes","$236,863"
Houses of Deceit,2017,,,Drama,,,,Gavin O'Connor,,
House on Haunted Hill,1999,R,92 minutes,Horror,,,,William Malone,"Taye Diggs,Ali Larter,Bridgette Wilson,Peter Gallagher","$65,090,541"
"Houston, We Have a Problem!",2016,,88 minutes,Drama,,,,Ziga Virc,,"$95,384"
HouseSitter,1992,PG,,Comedy,,,,Frank Oz,"Steve Martin,Goldie Hawn","$94,900,635"
How Much Does Your Building Weigh Mr. Foster?,2012,Not Rated,80 minutes,Drama,,,,Lopez Amado,,"$303,223"
Hulchul,2004,Not Rated,,Comedy,,,,,,
The Human Contract,2009,,,,,,,,Jason Clarke,
The Human Comedy,1998,Not Rated,117 minutes,Drama,,,,Clarence Brown,Mickey Rooney,
The Human Stain,2003,R,,Drama,,,,Robert Benton,Nicole Kidman,"$19,379,387"
Human Condition Trilogy,2008,,,Drama,,,,,,
The Human Scale,2013,Not Rated,,Documentary,,,,Andreas Dalsgaard,,
The Human Resources Manager,2011,Not Rated,103 minutes,Drama,,,,Eran Riklis,"Mark Ivanir,Guri Alfi",
Hunt to Kill,2010,R,,,,,,,,"$160,867"
Hwanghae,2010,R,,Drama,,,,,,
HyvÃ¤ postimies,2017,,81 minutes,Documentary,,,,Tonislav Hristov,,
Drop Everything,2017,Not Rated,57 minutes,Documentary,,,,Scott Gaffney,,
The Drop-Out,2011,,,Comedy,,,,,,
Drop Dead Gorgeous,1999,PG-13,,Comedy,,,,,Kirsten Dunst,
Dschungelkind,2010,,,Adventure,,,,,,"$2,911,348"
Duel in the Sun,1946,Not Rated,145 minutes,Western,,,,King Vidor,,
Dus Kahaniyaan,2007,Not Rated,,Adventure,,,,,,"$1,571,158"
The Dwarf,2017,,,Drama,,,,Brad Anderson,,
DysFunkTional Family,2003,R,,Documentary,,,,George Gallo,,
Dying Young,1991,R,,Drama,,,,Joel Schumacher,Julia Roberts,"$81,264,473"
Dying to Do Letterman,2012,,,Documentary,,,,Joke Fincioen,,
Dylan Dog: Dead of Night,2011,PG-13,107 minutes,Horror,,,,Kevin Munroe,Brandon Routh,"$6,093,725"
Drum Corps at the Movies: 2012 DCI Tour Premiere,2012,,,Concert/Performance,,,,,,
Cottage Country,2013,,91 minutes,Thriller/Suspense,,,,,,"$22,363"
Cowboys and Angels,2004,PG,105 minutes,Comedy,,,,,,
Crazy Rich Asians,2018,PG-13,,Comedy,,,,Jon M. Chu,,
Courageous,2011,PG-13,129 minutes,Drama,,,,Alex Kendrick,"Alex Kendrick,Kevin Downes,Ken Bevel,Renee Jewell","$35,185,884"
The Craigslist Killer,2011,,,Drama,,,,Stephen Kay,,
Crazy Famous,2018,,,Comedy,,,,Paul Jarrett,,
Crazy Eyes,2012,Not Rated,96 minutes,Drama,,,,Adam Sherman,"Lukas Haas,Madeline Zima",
"Crime, A",2006,R,,Drama,,,,,,
The Crooked Man,2017,,,,,,,Jesse Holland,,
Cuba Feliz,2002,Not Rated,,,,,,,,
The Crow: City of Angels,1996,R,,Action,,,,,,
Cuba,2018,,,Documentary,,,,Peter Chang,,
The Cruelest Miles,2011,,,Drama,,,,,,
Boy's Briefs 4,2006,Not Rated,,,,,,,,
Cuba,1979,,,Action,,,,,,
Czech Dream,2007,Not Rated,,,,,,,,
Breaking Free,1995,,,,,,,,,
Broken Mile,2017,,82 minutes,Thriller/Suspense,,,,Justin McConnell,,
Broken Memories,2015,,,,,,,Michael Worth,,
Bring It On: All or Nothing,2006,,,,,,,,,
Broken Lines,2008,R,,Drama,,,,,,
A Brony Tale,2014,,78 minutes,Documentary,,,,Brent Hodge,,
Brothers in Arms,2011,,,Drama,,,,,,
The Bronze,2016,R,108 minutes,Black Comedy,,,,Bryan Buckley,Melissa Rauch,
Buddha Heads,2002,Not Rated,,Drama,,,,,,
Byutopul Tumorou,2016,,,Documentary,,,,Jang Jae-hyuk,,"$507,138"
Byzantium,2013,R,118 minutes,Thriller/Suspense,,,,Neil Jordan,Gemma Arterton,"$92,544"
ByÃ´soku 5 senchimÃªtoru,2006,,63 minutes,Drama,,,,Makoto Shinkai,,"$228,393"
Byeon-ho-in,2014,Not Rated,127 minutes,Drama,,,,Woo-seok Yang,"Song Kang-ho,ê¹€ì˜�ì•  (Kim Young-ae),Dal-su Oh,Kwak Do-won","$76,988,372"
Bye Bye Patty,2010,,,Concert/Performance,,,,,,
Bye Bye Love,1995,PG-13,,Comedy,,,,,,
Bye Bye Birdie,1963,,,Musical,,,,,,
The Bye Bye Man,2017,PG-13,96 minutes,Thriller/Suspense,,,,Stacy Title,"Douglas Smith,Lucien Laviscount,Cressida Bonas,Doug Jones","$25,863,405"
By Virtue Fall,2011,,,Drama,,,,,,
By the Shortest of Heads,1915,Not Rated,58 minutes,,,,,,,
By the People: The Election of Barack Obama,2010,,,Documentary,,,,,,
By the Gun,2014,R,109 minutes,Drama,,,,James Mottern,Ben Barnes,
By Sidney Lumet,2016,,103 minutes,Documentary,,,,Nancy Buirski,,
By the Sea,2015,R,122 minutes,Drama,,,,Angelina Jolie Pitt,"Brad Pitt,Angelina Jolie Pitt","$3,727,746"
By Our Selves,2015,,,Documentary,,,,Andrew Knotting,,"$10,986"
By Hook or by Crook,2002,Not Rated,,Drama,,,,,,
By Any Means Necessary,2011,,,Action,,,,,,
BWOY,2017,,,,,,,John G. Young,,
Buzzkill,2012,Not Rated,90 minutes,Comedy,,,,Steven Kampmann,Daniel Raymont,
Buzzard,2015,Not Rated,97 minutes,Black Comedy,,,,Joel Potrykus,Joshua Burge,
BÃ¼yÃ¼ 2,2017,,90 minutes,Horror,,,,Adnan GÃ¼ler,,"$194,832"
Buying the Cow,2002,R,88 minutes,Romantic Comedy,,,,Walt Becker,Jerry O'Connell,
Buttermilk Sky,2012,,,,,,,,,
The Butterfly Tree,2017,,120 minutes,Drama,,,,Priscilla Cameron,,"$3,041"
Butterfly on a Wheel,2007,R,,Drama,,,,Mike Barker,,
The Butterfly Room,2014,Not Rated,87 minutes,Thriller/Suspense,,,,Jonathan Zarantonello,,
Butterfly Kiss,1996,,,Thriller/Suspense,,,,Michael Winterbottom,,
The Butterfly God,2016,,,Drama,,,,Jay Russell,,
"Butterfly Effect 3: Revelations, The",2009,,,,,,,,,
Butterfly Girl,2015,Not Rated,78 minutes,Documentary,,,,Cary Bell,,
The Butterfly Effect 2,2006,,,,,,,,,
The Butterfly Effect,2004,R,114 minutes,Thriller/Suspense,,,,,,"$95,638,592"
Butterfly,2001,Not Rated,,,,,,,,
Butterfly,2010,,,Horror,,,,Edward E. Romero,,
Butterfingers,2019,,,,,,,Barnaby Southcombe,,
BUtterfield 8,1960,Not Rated,109 minutes,,,,,,,
Buttercup Bill,2014,,,Drama,,,,Remy Bennett,,"$6,037"
Buttercup,2011,,,Drama,,,,,,
Mythica: The Necromancer,2016,,,Adventure,,,,,,
Butter,2012,R,90 minutes,Comedy,,,,Jim Field Smith,"Jennifer Garner,Ty Burrell,Olivia Wilde,Rob Corddry,Alicia Silverstone,Hugh Jackman","$104,706"
Mythica: the Darkspore,2016,,108 minutes,Adventure,,,,,"Melanie Stone,Kevin Sorbo",
Myth of the American Sleepover,2011,Not Rated,96 minutes,Drama,,,,David Robert Mitchell,"Marlon Morton,Amanda Bauer,Claire Sloma,Brett Jacobsen,Jade Ramsey,Nikita Ramsey",
The Myth of Fingerprints,1997,R,,,,,,,,
Mystic Pizza,1988,R,,Comedy,,,,Donald Petrie,Julia Roberts,
The Mystic Masseur,2002,PG,,,,,,,,
The Butcher's Wife,1991,PG-13,,Comedy,,,,,"Demi Moore,Jeff Daniels,George Dzundza",
Butcher Boys,2013,R,88 minutes,Horror,,,,,Ali Faulkner,
Mystic River,2003,R,137 minutes,Drama,,,,Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon","$156,822,020"
The Butcher Boy,1998,R,,Drama,,,,Neil Jordan,,
