id,title,year,mpaa,runtime,genres,director,stars,gross
0,Effects,2005,-1,-1,-1,Dusty Nelson,-1,-1
1,Ek Haseena Thi Ek Deewana Tha,2017,-1,105 minutes,Drama,Suneel Darshan,-1,"$149,491"
2,Ekk Albela,2016,-1,-1,Drama,Shekhar Sartandel,-1,"$1,907"
3,The Daisy Chain,2009,R,-1,-1,-1,-1,-1
4,Dali & I: The Surreal Story,2011,-1,-1,Drama,Andrew Niccol,Al Pacino,-1
5,Hacienda Classical: The Classical Rave,2016,-1,95 minutes,Documentary,-1,-1,"$1,338"
6,Haevnen,2011,R,113 minutes,Drama,Susanne Bier,"Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,William Johnk Nielsen","$15,867,314"
7,Hacksaw Ridge,2016,R,138 minutes,Drama,Mel Gibson,Andrew Garfield,"$158,701,644"
8,Haeundae,2010,R,-1,-1,-1,-1,"$64,733,391"
9,Haganenet,2015,Not Rated,119 minutes,Drama,Nadav Lapid,"Sarit Larry,Avi Shnaidman","$129,165"
10,Half Past Dead,2002,PG-13,-1,Action,-1,Steven Seagal,"$19,233,280"
11,Hamlet,1996,PG-13,-1,Drama,-1,Kenneth Branagh,"$7,129,670"
12,Hammersmith Is Out,1972,-1,-1,-1,-1,-1,-1
13,Home is Where the Heart Is,2014,PG-13,115 minutes,Drama,Rajeev Dassani,-1,-1
14,Home Movies,1980,-1,-1,-1,-1,-1,-1
15,A Home of Our Own,1993,Not Rated,-1,-1,Tony Bill,-1,-1
16,Home Invasion,2016,PG-13,88 minutes,Action,David Tennant,-1,-1
17,Home is Burning,2017,-1,-1,Drama,Jonathan Levine,-1,-1
18,Home Movie,2002,Not Rated,-1,-1,-1,-1,-1
19,Home Fries,1998,PG-13,91 minutes,Black Comedy,Dean Parisot,Drew Barrymore,-1
20,Home of the Brave,2007,R,106 minutes,Drama,Irwin Winkler,"Samuel L. Jackson,Jessica Biel,Brian Presley,Curtis ""50 Cent"" Jackson",-1
21,Home Delivery,2005,Not Rated,-1,Comedy,-1,-1,-1
22,Home for the Holidays,1995,PG-13,104 minutes,Comedy,Jodie Foster,Holly Hunter,"$22,119,269"
23,Home Alone: The Holiday Heist,2013,Not Rated,87 minutes,Adventure,Peter Hewitt,-1,-1
24,Home Before Midnight,2014,-1,-1,Drama,Pete Walker,-1,-1
25,"Distant Voices, Still Lives",1988,-1,85 minutes,Drama,Terence Davies,-1,"$44,963"
26,A Home at the End of the World,2004,R,-1,Drama,-1,-1,"$1,033,810"
27,Home Alone III,1997,PG,-1,Comedy,-1,-1,-1
28,Distant,2004,Not Rated,-1,Drama,-1,-1,-1
29,The Horror Show,1989,-1,-1,-1,-1,-1,-1
30,The Horror Network,2015,Not Rated,-1,Horror,Brian Dorton,-1,-1
31,Hors de Prix,2008,PG-13,104 minutes,Comedy,-1,Audrey Tautou,"$26,980,663"
32,Hors la loi,2010,R,138 minutes,Drama,Rachid Bouchareb,"Jamel Debbouze,Roschdy Zem,Sami Bouajila","$1,459,269"
33,Horror Hotel: The Movie,2017,-1,-1,Comedy,Ricky Hess,-1,-1
34,Hoshi Mamoru Inu,2011,-1,-1,Drama,-1,-1,"$7,772,082"
35,The Hospital,1971,PG-13,-1,-1,-1,-1,-1
36,Hot Fuzz,2007,R,121 minutes,Comedy,Edgar Wright,"Simon Pegg,Nick Frost","$81,742,618"
37,The House on Sorority Row,1983,-1,-1,Horror,-1,-1,-1
38,The House on Pine Street,2015,-1,111 minutes,Horror,Aaron Keeling,-1,"$41,355"
39,Housebound,2014,Not Rated,109 minutes,Comedy,Gerard Johnstone,"Morgana O'Reilly,Rima Te Wiata,Glen-Paul Waru,Cameron Rhodes","$236,863"
40,Houses of Deceit,2017,-1,-1,Drama,Gavin O'Connor,-1,-1
41,House on Haunted Hill,1999,R,92 minutes,Horror,William Malone,"Taye Diggs,Ali Larter,Bridgette Wilson,Peter Gallagher","$65,090,541"
42,"Houston, We Have a Problem!",2016,-1,88 minutes,Drama,Ziga Virc,-1,"$95,384"
43,HouseSitter,1992,PG,-1,Comedy,Frank Oz,"Steve Martin,Goldie Hawn","$94,900,635"
44,How Much Does Your Building Weigh Mr. Foster?,2012,Not Rated,80 minutes,Drama,Lopez Amado,-1,"$303,223"
45,Hulchul,2004,Not Rated,-1,Comedy,-1,-1,-1
46,The Human Contract,2009,-1,-1,-1,-1,Jason Clarke,-1
47,The Human Comedy,1998,Not Rated,117 minutes,Drama,Clarence Brown,Mickey Rooney,-1
48,The Human Stain,2003,R,-1,Drama,Robert Benton,Nicole Kidman,"$19,379,387"
49,Human Condition Trilogy,2008,-1,-1,Drama,-1,-1,-1
50,The Human Scale,2013,Not Rated,-1,Documentary,Andreas Dalsgaard,-1,-1
51,The Human Resources Manager,2011,Not Rated,103 minutes,Drama,Eran Riklis,"Mark Ivanir,Guri Alfi",-1
52,Hunt to Kill,2010,R,-1,-1,-1,-1,"$160,867"
53,Hwanghae,2010,R,-1,Drama,-1,-1,-1
54,HyvÃ¤ postimies,2017,-1,81 minutes,Documentary,Tonislav Hristov,-1,-1
55,Drop Everything,2017,Not Rated,57 minutes,Documentary,Scott Gaffney,-1,-1
56,The Drop-Out,2011,-1,-1,Comedy,-1,-1,-1
57,Drop Dead Gorgeous,1999,PG-13,-1,Comedy,-1,Kirsten Dunst,-1
58,Dschungelkind,2010,-1,-1,Adventure,-1,-1,"$2,911,348"
59,Duel in the Sun,1946,Not Rated,145 minutes,Western,King Vidor,-1,-1
60,Dus Kahaniyaan,2007,Not Rated,-1,Adventure,-1,-1,"$1,571,158"
